lag,R2,coef,p-value
0,0.678523486974193,0.0008157455780948674,7.402932561298486e-31
1,0.7836513812719771,0.0008765588313862363,4.942298300394269e-40
2,0.8000566140660521,0.0008896457848197072,5.95180457886414e-41
3,0.7857671675030297,0.0008896149561235891,2.929625036527673e-38
4,0.7276321188039289,0.0008676056774982011,1.0449043731271942e-31
5,0.6544866916365839,0.0008348694983450704,1.6417075599652139e-25
6,0.5236045278605368,0.0008061325148759173,8.628613906369344e-18
7,0.38669719906312605,0.000766814589490518,6.445851238238936e-12
8,0.23696121216690724,0.0006520069318170431,4.932220304673546e-07
9,0.1077931834984428,0.0004914222295686735,0.0013139063017142945
