lag,R2,coef,p-value
0,0.006251756503497741,-2.509088134339247e-07,0.3906571700769197
1,0.00442212043660084,-2.117918954057658e-07,0.47241353019952603
2,0.001113727363098893,-1.0675768858523033e-07,0.7197749345436446
3,0.00012347485862473917,-3.571164070711346e-08,0.905349019232907
4,0.0002633319779885568,5.244432558705321e-08,0.8627345816714379
5,0.0005963201530988504,7.936848074758413e-08,0.7955969563320299
6,0.002211464396186691,1.5590095915277028e-07,0.6192990231394606
7,0.008588415754246403,3.140199727371182e-07,0.3289234616992319
8,0.011001031045434928,3.602754358210082e-07,0.27107370190562996
9,0.01362879627539093,4.0693095605908386e-07,0.22238454336746552
