lag,R2,coef,p-value
0,0.11636817784750186,-62.87112572144174,0.00013741488815857076
1,0.12809495315641206,-65.94790275571188,7.438164017893943e-05
2,0.14415870337849324,-69.99296967019882,3.095231394524268e-05
3,0.16887007414482247,-76.02864410758181,7.462779708914831e-06
4,0.19227385387643292,-82.30743490033848,2.0690884706160485e-06
5,0.19718514965890432,-83.59184668782554,2.085664860858285e-06
6,0.19119797065706945,-82.79432692235405,4.322693323276086e-06
7,0.17392318692542563,-79.90238315716746,1.753584634550411e-05
8,0.1557127721377236,-77.55180408493936,6.93879482409026e-05
9,0.1268363623055877,-72.47777442592083,0.0004589002639692067
