lag,R2,coef,p-value
0,0.14176921785580454,-2.023154911931217e-06,2.2502799230992097e-05
1,0.12182198181491499,-1.8755545099954837e-06,0.00011487072792409047
2,0.08061426648508829,-1.5365279412566811e-06,0.0022033590710399866
3,0.053070074637255216,-1.2582009792386697e-06,0.014997923648786222
4,0.030177755423471786,-9.585425280655819e-07,0.07217468190880577
5,0.013713459775709813,-6.519134019712101e-07,0.2341650900569007
6,0.0033740157588223463,-3.4781629286917195e-07,0.5619803637395551
7,0.00011269003457559101,-7.029550336088546e-08,0.9169432330663676
8,1.774264297793593e-05,3.016765726529033e-08,0.9675107273216006
9,0.0003338045110669041,1.4534679753512105e-07,0.8620037050549477
